system:index,adm0_name,child_population_exposed,child_population_total,iso3,label,metric,population_total,ucode,.geo
5,Antarctica,0.0,0.0,ATA,drought_spi_copernicus_1940-2024,individual,0.0,ATA_V6,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Tokelau,,627.8673086456943,TKL,drought_spi_copernicus_1940-2024,individual,2014.402919239989,TKL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Western Sahara,2818.496262987506,148932.15286032428,ESH,drought_spi_copernicus_1940-2024,individual,565209.8879479027,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,New Caledonia,1737.369251342776,73125.82198797836,NCL,drought_spi_copernicus_1940-2024,individual,286214.63240109663,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Clipperton Island,,0.0,PYF,drought_spi_copernicus_1940-2024,individual,0.0,PYF1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Saint Helena (Tristan da Cunha),,0.0,SHN,drought_spi_copernicus_1940-2024,individual,0.0,SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Saint Helena (Ascencion),,0.0,SHN,drought_spi_copernicus_1940-2024,individual,0.0,SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Gibraltar,0.0,6320.710476004482,GIB,drought_spi_copernicus_1940-2024,individual,32201.5256533018,GIB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Saint Helena (Gough),,0.0,SHN,drought_spi_copernicus_1940-2024,individual,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Saint Helena,,854.5941989731934,SHN,drought_spi_copernicus_1940-2024,individual,5199.487445189212,SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,American Samoa (USA),,15601.739678215456,ASM,drought_spi_copernicus_1940-2024,individual,46000.704591681664,ASM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Guam (USA),43956.926997381175,50804.76540056684,GUM,drought_spi_copernicus_1940-2024,individual,168195.3960321047,GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Bi'r Tawīl,0.0,250.06046407669783,EGY,drought_spi_copernicus_1940-2024,individual,293.79977034032345,EGY1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Greenland,3436.0744111828844,6348.697077057339,GRL,drought_spi_copernicus_1940-2024,individual,24878.69900580517,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Arunachal Pradesh,21768.03447804168,316064.96065364964,xAP,drought_spi_copernicus_1940-2024,individual,980113.5056940456,xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Senkaku Islands,,0.0,xSK,drought_spi_copernicus_1940-2024,individual,0.0,xSK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Kuril Islands,3367.3807749607668,3437.7050287807774,xRI,drought_spi_copernicus_1940-2024,individual,16865.05092428459,xRI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Hala'ib Triangle,0.0,4875.057169295198,SDN,drought_spi_copernicus_1940-2024,individual,11277.084853108128,SDN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Ilemi Triangle,0.0,2455.25929632516,SSD,drought_spi_copernicus_1940-2024,individual,10208.10353761562,SSD1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Abyei,0.0,81783.25820501274,xAB,drought_spi_copernicus_1940-2024,individual,119720.69199162384,xAB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Aksai Chin,3358.8178976082627,3438.9182873868767,xAC,drought_spi_copernicus_1940-2024,individual,11530.730537227571,xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Jammu and Kashmir,1627126.2953655578,4724933.949900465,xJK,drought_spi_copernicus_1940-2024,individual,20485747.790387876,xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
